strat,max,num agents,num req,dur,avg wt,max wt,num late
greedy,0.3,500,5022,100,0.1897124,0.742058069,896
greedy,0.3,650,5022,100,0.170362868,0.599487405,579
greedy,0.3,800,5022,100,0.151769161,0.571618651,340
greedy,0.3,950,5022,100,0.136138763,0.488122321,181
greedy,0.3,1100,5022,100,0.125635264,0.436198121,100
greedy,0.3,1250,5022,100,0.117090125,0.389567154,59
greedy,0.3,1400,5022,100,0.108743064,0.363488846,31
ranking,0.3,500,5022,100,0.269727703,5.187790622,120
ranking,0.3,650,5022,100,0.25613688,2.877210785,51
ranking,0.3,800,5022,100,0.251107584,2.433890161,29
ranking,0.3,950,5022,100,0.250051135,2.927414734,23
ranking,0.3,1100,5022,100,0.245429816,2.519419236,12
ranking,0.3,1250,5022,100,0.243346458,2.294265953,6
ranking,0.3,1400,5022,100,0.242456119,2.06260586,1
